steam_id,num_owned,num_friends
76561198179863493,409,24
76561198208995917,86,10
76561198140248708,83,0
76561198143949217,0,64
76561199126838300,0,0
76561198040863524,0,0
76561198930889173,111,4
76561198204035952,0,100
76561199531978072,36,0
76561198082242567,1000,0
76561198126245882,0,0
76561198834892328,0,3
76561198125978382,0,0
76561198087780365,0,2
76561199235802128,224,41
76561199333756675,134,1
76561199226597254,0,7
76561198365126812,87,12
76561198342484296,679,0
76561198397743823,103,9
76561198277022428,0,0
76561198414236689,21,8
76561199082168172,0,4
76561199808055605,0,0
76561198033286961,0,0
76561199823775860,0,0
76561198088028334,223,78
76561198016578730,0,0
76561199476982491,3,0
76561198066370902,0,100
76561198008289312,0,0
76561198262820042,0,28
76561198050214055,0,0
76561198142860367,474,26
76561198985442921,81,24
76561198304079135,0,20
76561198379585941,0,3
76561198254408786,0,0
76561198355774879,0,0
76561199582420795,0,0
76561198044128365,364,28
76561198097688229,283,49
76561198004066034,69,64
76561198089154375,163,15
76561198044775993,0,0
76561197964821775,236,41
76561198033981579,0,0
76561199849816713,0,1
76561199043216717,0,1
76561198130509793,0,14
76561198248317104,0,2
76561198170006995,119,0
76561198153915730,990,0
76561197976143675,0,0
76561199568191372,0,1
76561199629551206,0,1
76561199230334678,54,18
76561199507437361,0,0
76561198846940453,0,10
76561199041395659,0,2
76561198119046677,0,0
76561198112010601,0,35
76561198249445538,83,102
76561198842323845,0,8
76561198836565777,0,0
76561198333783921,0,14
76561199005252579,0,28
76561198053855883,0,72
76561199804185611,0,0
76561198017309171,295,30
76561199850373997,2,2
76561198813378354,163,304
76561198834583238,0,13
76561198020745858,0,0
76561198797603230,0,0
76561199210788419,0,1
76561199516557160,20,3
76561199274070915,0,1
76561198150308243,0,0
76561198327605484,211,19
76561198220318373,0,19
76561198180374293,0,28
76561198281411326,0,0
76561198199750753,0,26
76561198360433862,334,60
76561198902323541,0,0
76561198397170844,0,1
76561198196044459,62,0
76561198136637668,552,15
76561198930613577,0,10
76561199156637575,0,0
76561198180318849,0,0
76561198002922921,0,0
76561198307290776,73,10
76561198075812211,0,0
76561198100433081,499,6
76561198079213994,215,74
76561198959467718,0,0
76561198364483375,234,53
76561198827533996,0,0
76561198865844394,232,11
76561198021115708,576,42
76561198929193857,59,20
76561198258795155,0,1
76561198834986377,113,0
76561198054404282,0,0
76561198029036334,0,0
76561198132503356,0,0
76561199367726804,0,0
76561197991464390,0,52
76561199653929094,26,1
76561197961698325,0,61
76561199105203128,0,0
76561198279992209,61,2
76561199406826767,47,18
76561199082602049,0,0
76561198303175253,215,46
76561198106369047,0,41
76561198345240364,0,6
76561199121696467,0,0
76561198813430694,0,5
76561199145087001,13,0
76561199525322809,0,6
76561199242145949,0,13
76561199090365694,0,0
76561199148738445,43,13
76561198248038800,0,0
76561198298470558,168,2
76561198308349191,0,0
76561199473328441,0,3
76561198210529799,0,0
76561199060976984,0,18
76561198150706658,0,0
76561198033643148,0,0
76561198072696374,59,14
76561198864869744,49,0
76561198011347659,0,0
76561198310141610,138,18
76561198111038691,0,44
76561199524540559,102,0
76561198352860540,182,13
76561199108051242,107,15
76561198017315869,323,0
76561199645891083,0,6
76561199404085452,0,1
76561198191259502,107,76
76561198075202989,236,412
76561198839065811,0,16
76561198025618899,64,0
76561198352083300,196,17
76561199786081005,0,0
76561198964911517,62,6
76561198392064537,0,0
76561198848937937,0,32
76561198043770573,0,20
76561198139961272,18,30
76561198976189936,0,1
76561198122341477,0,22
76561198127708137,0,0
76561198202850466,0,0
76561198104002443,51,49
76561199756998972,38,16
76561198176934419,0,0
76561199098082456,0,0
76561198154331629,103,69
76561197974841985,421,61
76561198042118927,0,27
